system,step,shared_future,fragmentation,coherence,survivability
competitive,401,0.0,1.0,1.0,0.74
competitive,402,0.0,1.0,1.0,0.74
competitive,403,0.0,1.0,1.0,0.74
competitive,404,0.0,1.0,1.0,0.74
competitive,405,0.0,1.0,1.0,0.74
competitive,406,0.0,1.0,1.0,0.74
competitive,407,0.0,1.0,1.0,0.74
competitive,408,0.0,1.0,1.0,0.74
competitive,409,0.0,1.0,1.0,0.74
competitive,410,0.0,1.0,1.0,0.74
competitive,411,0.0,1.0,1.0,0.74
competitive,412,0.0,1.0,1.0,0.74
competitive,413,0.0,1.0,1.0,0.74
competitive,414,0.0,1.0,1.0,0.74
competitive,415,0.0,1.0,1.0,0.74
competitive,416,0.0,1.0,1.0,0.74
competitive,417,0.0,1.0,1.0,0.74
competitive,418,0.0,1.0,1.0,0.74
competitive,419,0.0,1.0,1.0,0.74
competitive,420,0.0,1.0,1.0,0.74
competitive,421,0.0,1.0,1.0,0.74
competitive,422,0.0,1.0,1.0,0.74
competitive,423,0.0,1.0,1.0,0.74
competitive,424,0.0,1.0,1.0,0.74
competitive,425,0.0,1.0,1.0,0.74
competitive,426,0.0,1.0,1.0,0.74
competitive,427,0.0,1.0,1.0,0.74
competitive,428,0.0,1.0,1.0,0.74
competitive,429,0.0,1.0,1.0,0.74
competitive,430,0.0,1.0,1.0,0.74
competitive,431,0.0,1.0,1.0,0.74
competitive,432,0.0,1.0,1.0,0.74
competitive,433,0.0,1.0,1.0,0.74
competitive,434,0.0,1.0,1.0,0.74
competitive,435,0.0,1.0,1.0,0.74
competitive,436,0.0,1.0,1.0,0.74
competitive,437,0.0,1.0,1.0,0.74
competitive,438,0.0,1.0,1.0,0.74
competitive,439,0.0,1.0,1.0,0.74
competitive,440,0.0,1.0,1.0,0.74
competitive,441,0.0,1.0,1.0,0.74
competitive,442,0.0,1.0,1.0,0.74
competitive,443,0.0,1.0,1.0,0.74
competitive,444,0.0,1.0,1.0,0.74
competitive,445,0.0,1.0,1.0,0.74
competitive,446,0.0,1.0,1.0,0.74
competitive,447,0.0,1.0,1.0,0.74
competitive,448,0.0,1.0,1.0,0.74
competitive,449,0.0,1.0,1.0,0.74
competitive,450,0.0,1.0,1.0,0.74
