scarcity,fragmentation,visibility,coupling,antifragile_score,unification_score,margin_unification_minus_antifragile,winner,near_boundary
0.0,0.0,0.6,0.3,0.181708,1.077791,0.896083,unification,False
0.0,0.0,0.6,0.35,0.169945,1.198223,1.028278,unification,False
0.0,0.0,0.6,0.4,0.105746,1.197808,1.092061,unification,False
0.0,0.0,0.6,0.45,0.145895,1.277716,1.131822,unification,False
0.0,0.0,0.6,0.5,0.130096,1.333937,1.203841,unification,False
0.0,0.0,0.6,0.55,0.113876,1.410787,1.296911,unification,False
0.0,0.0,0.6,0.6,0.066456,1.509118,1.442662,unification,False
0.0,0.0,0.6,0.65,0.033456,1.508972,1.475516,unification,False
0.0,0.0,0.6,0.7,0.013786,1.606308,1.592522,unification,False
0.0,0.0,0.6,0.75,-0.031644,1.673437,1.705081,unification,False
0.0,0.0,0.6,0.8,-0.023469,1.748695,1.772165,unification,False
0.0,0.0,0.6,0.85,-0.087357,1.762836,1.850192,unification,False
0.0,0.0,0.6,0.9,-0.087162,1.824344,1.911506,unification,False
0.0,0.0,0.6,0.95,-0.056308,1.903019,1.959328,unification,False
0.0,0.0,0.6,1.0,-0.086334,1.96602,2.052355,unification,False
0.0,0.0,0.65,0.0,0.297585,0.754787,0.457202,unification,False
0.0,0.0,0.65,0.05,0.292671,0.859067,0.566395,unification,False
0.0,0.0,0.65,0.1,0.267126,0.918913,0.651787,unification,False
0.0,0.0,0.65,0.15,0.24741,1.018377,0.770966,unification,False
0.0,0.0,0.65,0.2,0.220323,1.022323,0.802,unification,False
0.0,0.0,0.65,0.25,0.186162,1.066693,0.880532,unification,False
0.0,0.0,0.65,0.3,0.156388,1.13278,0.976392,unification,False
0.0,0.0,0.65,0.35,0.168233,1.225857,1.057624,unification,False
0.0,0.0,0.65,0.4,0.153779,1.260862,1.107083,unification,False
0.0,0.0,0.65,0.45,0.157505,1.360985,1.203481,unification,False
0.0,0.0,0.65,0.5,0.113509,1.388677,1.275168,unification,False
0.0,0.0,0.65,0.55,0.113711,1.472199,1.358489,unification,False
0.0,0.0,0.65,0.6,0.046297,1.5283,1.482004,unification,False
0.0,0.0,0.65,0.65,0.071551,1.570008,1.498457,unification,False
0.0,0.0,0.65,0.7,0.052246,1.618629,1.566383,unification,False
0.0,0.0,0.65,0.75,0.063405,1.748699,1.685294,unification,False
0.0,0.0,0.65,0.8,0.006187,1.789086,1.782899,unification,False
0.0,0.0,0.65,0.85,-0.065248,1.813591,1.878839,unification,False
0.0,0.0,0.65,0.9,-0.029844,1.878197,1.908041,unification,False
0.0,0.0,0.65,0.95,-0.02214,2.017432,2.039573,unification,False
0.0,0.0,0.65,1.0,-0.086915,2.009063,2.095979,unification,False
0.0,0.0,0.7,0.0,0.320886,0.880278,0.559392,unification,False
0.0,0.0,0.7,0.05,0.266941,0.908726,0.641785,unification,False
0.0,0.0,0.7,0.1,0.325532,0.923706,0.598174,unification,False
0.0,0.0,0.7,0.15,0.230473,1.01691,0.786437,unification,False
0.0,0.0,0.7,0.2,0.231985,1.110315,0.87833,unification,False
0.0,0.0,0.7,0.25,0.233541,1.108126,0.874584,unification,False
0.0,0.0,0.7,0.3,0.222885,1.200562,0.977676,unification,False
0.0,0.0,0.7,0.35,0.224361,1.26181,1.037449,unification,False
0.0,0.0,0.7,0.4,0.159085,1.353528,1.194444,unification,False
