seed,scenario,detector,collapse_expected,warning,lead_time,verdict
15,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
15,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
15,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
16,stable_dynamic,gv_recoverability,False,,,QUIET
16,stable_dynamic,rolling_z_score,False,,,QUIET
16,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
16,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
16,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
16,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
16,critical_slowing_dynamic,gv_recoverability,True,780,20,EARLY_WARNING
16,critical_slowing_dynamic,rolling_z_score,True,,,MISS
16,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
16,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
16,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
16,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
17,stable_dynamic,gv_recoverability,False,,,QUIET
17,stable_dynamic,rolling_z_score,False,,,QUIET
17,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
17,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
17,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
17,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
17,critical_slowing_dynamic,gv_recoverability,True,760,40,EARLY_WARNING
17,critical_slowing_dynamic,rolling_z_score,True,,,MISS
17,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
17,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
17,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
17,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
18,stable_dynamic,gv_recoverability,False,,,QUIET
18,stable_dynamic,rolling_z_score,False,,,QUIET
18,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
18,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
18,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
18,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
18,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
18,critical_slowing_dynamic,rolling_z_score,True,,,MISS
18,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
18,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
18,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
18,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
19,stable_dynamic,gv_recoverability,False,,,QUIET
19,stable_dynamic,rolling_z_score,False,,,QUIET
19,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
19,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
19,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
19,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
19,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
19,critical_slowing_dynamic,rolling_z_score,True,,,MISS
19,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
19,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
19,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
19,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
20,stable_dynamic,gv_recoverability,False,,,QUIET
20,stable_dynamic,rolling_z_score,False,,,QUIET
20,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
20,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
20,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
20,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
20,critical_slowing_dynamic,gv_recoverability,True,760,40,EARLY_WARNING
20,critical_slowing_dynamic,rolling_z_score,True,,,MISS
20,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
20,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
20,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
20,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
21,stable_dynamic,gv_recoverability,False,,,QUIET
21,stable_dynamic,rolling_z_score,False,,,QUIET
21,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
21,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
21,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
21,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
21,critical_slowing_dynamic,gv_recoverability,True,780,20,EARLY_WARNING
21,critical_slowing_dynamic,rolling_z_score,True,,,MISS
21,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
21,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
