threshold,seed,scenario,collapse_expected,warning,lead_time,verdict,min_gv,mean_gv
0.45,85,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8023
0.45,86,stable_dynamic,False,,,QUIET,0.9488,0.994
0.45,86,noisy_dynamic_recoverable,False,,,QUIET,0.9332,0.9912
0.45,86,critical_slowing_dynamic,True,840,-40,MISS,0.35,0.7625
0.45,86,abrupt_collapse_dynamic,True,860,-60,MISS,0.2931,0.7955
0.45,87,stable_dynamic,False,,,QUIET,0.9488,0.9905
0.45,87,noisy_dynamic_recoverable,False,,,QUIET,0.9298,0.9861
0.45,87,critical_slowing_dynamic,True,840,-40,MISS,0.35,0.7573
0.45,87,abrupt_collapse_dynamic,True,880,-80,MISS,0.3476,0.7987
0.45,88,stable_dynamic,False,,,QUIET,0.9497,0.9922
0.45,88,noisy_dynamic_recoverable,False,,,QUIET,0.873,0.9817
0.45,88,critical_slowing_dynamic,True,840,-40,MISS,0.2749,0.7558
0.45,88,abrupt_collapse_dynamic,True,860,-60,MISS,0.2936,0.7966
0.45,89,stable_dynamic,False,,,QUIET,0.9661,0.9901
0.45,89,noisy_dynamic_recoverable,False,,,QUIET,0.9407,0.9853
0.45,89,critical_slowing_dynamic,True,820,-20,MISS,0.2615,0.7557
0.45,89,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8005
0.45,90,stable_dynamic,False,,,QUIET,0.9467,0.991
0.45,90,noisy_dynamic_recoverable,False,,,QUIET,0.9467,0.9871
0.45,90,critical_slowing_dynamic,True,840,-40,MISS,0.2977,0.7583
0.45,90,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7995
0.45,91,stable_dynamic,False,,,QUIET,0.9487,0.9921
0.45,91,noisy_dynamic_recoverable,False,,,QUIET,0.9487,0.9893
0.45,91,critical_slowing_dynamic,True,840,-40,MISS,0.3493,0.7576
0.45,91,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8021
0.45,92,stable_dynamic,False,,,QUIET,0.9667,0.992
0.45,92,noisy_dynamic_recoverable,False,,,QUIET,0.9217,0.9818
0.45,92,critical_slowing_dynamic,True,820,-20,MISS,0.2805,0.7507
0.45,92,abrupt_collapse_dynamic,True,860,-60,MISS,0.2965,0.795
