seed,probe_index,true_recovery_time,ac_risk,rl_risk,mean_risk,ac_rl_equal,ac_rl_fitted
71,320,2.199273117867479,0.45812262255896874,0.11355656487576737,0.2801561067045326,0.28583959371736806,0.1689669178576303
71,370,2.745624788447456,0.5084601628200196,0.12880482877454436,0.29822081853319904,0.318632495797282,0.1898579580710127
71,420,3.555585707820449,0.693695571551308,0.21472033627309317,0.41913220511419513,0.4542079539122006,0.2917452964063926
71,470,4.886657343860002,0.7147726086605446,0.22946789185149152,0.3676067836128884,0.47212025025601806,0.3075107084973392
72,120,1.0743511113676965,0.408082158669666,0.10037270840123291,0.355945155209926,0.25422743353544947,0.14985607704721005
72,170,1.2675745837390786,0.4974190553617035,0.12526266980415945,0.2872152899881365,0.3113408625829315,0.18510987828096567
72,220,1.5044948573296935,0.421968037541248,0.1038609575381888,0.20098417200884486,0.2629144975397184,0.15501638969977793
72,270,1.804454873038303,0.5761934902831994,0.1535363048125079,0.4003640858000324,0.3648648975478537,0.2215046473553593
72,320,2.199273117867479,0.668195135028025,0.19873800184417645,0.32548226187934304,0.4334665684361007,0.2742323370508293
72,370,2.745624788447456,0.6069551411818309,0.16686122876310605,0.3099165735461482,0.3869081849724685,0.2376336060432594
72,420,3.555585707820449,0.5923715367338608,0.16035374160607296,0.3591042562765477,0.3763626391699669,0.22982738240352496
72,470,4.886657343860002,0.6542462296623514,0.19074086597954087,0.4067055282662445,0.4224935478209461,0.2652780852963215
73,120,1.0743511113676965,0.3258603447060259,0.08188087712104519,0.2248293470984847,0.20387061091353553,0.12111570051052803
73,170,1.2675745837390786,0.46891032885887585,0.11663933268705762,0.30338105863063397,0.29277483077296673,0.1732887321502496
73,220,1.5044948573296935,0.5227569704214624,0.13357579894406324,0.24856329225397533,0.3281663846827628,0.1961607971021942
73,270,1.804454873038303,0.6065125248136859,0.1666583615692483,0.3739714259233149,0.3865854431914671,0.23739218430789025
73,320,2.199273117867479,0.666644736513214,0.19782471786744582,0.2993313836953148,0.4322347271903299,0.2732165974181867
73,370,2.745624788447456,0.6410557147744355,0.18360788892811009,0.2986804226064732,0.4123318018512728,0.2571709835386516
73,420,3.555585707820449,0.6319983817603504,0.1789329865249193,0.3608503069555624,0.40546568414263484,0.25179133375349017
73,470,4.886657343860002,0.8435719004367599,0.3702193482451498,0.6156809362874892,0.6068956243409549,0.4463401135293432
74,120,1.0743511113676965,0.1425909095249247,0.04883347758058487,0.12542338508664835,0.09571219355275479,0.0639107966689477
74,170,1.2675745837390786,0.3371444592116106,0.08422869998736704,0.16137341661381333,0.21068657959948883,0.12490058620715247
74,220,1.5044948573296935,0.4807525733976311,0.12013418387960795,0.35037185659700004,0.30044337863861953,0.17812594426744136
74,270,1.804454873038303,0.4124937944858432,0.10146782163695367,0.1794827442070065,0.25698080806139845,0.1514845268747328
74,320,2.199273117867479,0.36650018116323024,0.09059971238265185,0.2027441472636292,0.22854994677294105,0.13496781545637088
74,370,2.745624788447456,0.550495047848974,0.14348492659555123,0.24747848712202095,0.3469899872222626,0.20893703362397514
74,420,3.555585707820449,0.7281154010099218,0.2396382083368298,0.4073753400041305,0.4838768046733758,0.3181911971355436
74,470,4.886657343860002,0.7831149923707825,0.29029621120663296,0.41671321168072417,0.5367056017887077,0.3695473794848029
75,120,1.0743511113676965,0.3329657476404817,0.0833530842473913,0.1934903153152219,0.2081594159439365,0.12349379305763225
75,170,1.2675745837390786,0.31173788790393286,0.07901437174773374,0.24320207600290825,0.1953761298258333,0.11643910320300485
75,220,1.5044948573296935,0.35959969731147345,0.08906592676569136,0.1907527994362407,0.2243328120385824,0.1325710004234062
75,270,1.804454873038303,0.47694142141606843,0.11899639366554915,0.25835820341038646,0.2979689075408088,0.176558245430979
75,320,2.199273117867479,0.48154846238514026,0.12037338803715258,0.21999373447528034,0.3009609252111464,0.1784546700195835
75,370,2.745624788447456,0.5710985387654656,0.15147074030643126,0.3031965409244627,0.3612846395359484,0.21895192109933187
75,420,3.555585707820449,0.6092490810853585,0.16791819039537836,0.276941687788554,0.3885836357403684,0.2388894886113372
75,470,4.886657343860002,0.7282971554277827,0.23978162596109354,0.4583351833083654,0.48403939069443813,0.3183407797758269
76,120,1.0743511113676965,0.564414761767294,0.14881707438289526,0.36021705501405604,0.35661591807509463,0.21565016499911632
76,170,1.2675745837390786,0.5624982830594121,0.1480675999776473,0.2689174799626618,0.3552829415185297,0.21471302231111558
76,220,1.5044948573296935,0.46768104418949485,0.11628329586465946,0.28794228641487274,0.29198217002707716,0.17279226660493163
76,270,1.804454873038303,0.3456549451723896,0.08603525104780918,0.18339359235821018,0.2158450981100994,0.1277852103711753
76,320,2.199273117867479,0.4266035390236145,0.10505303224653739,0.30280733518128056,0.26582828563507593,0.1567622087156722
76,370,2.745624788447456,0.6343805228142431,0.18014567307337548,0.2711662760621828,0.40726309794380927,0.2531920826066846
76,420,3.555585707820449,0.6958849511047748,0.2161830607702918,0.36862712453320395,0.4560340059375333,0.293324875748304
76,470,4.886657343860002,0.7047786439465469,0.2222856943266558,0.40109111088979377,0.46353216913660134,0.2998763450989933
