seed,probe_index,mean_risk,va_risk,ac_risk,true_recovery_time
21,370,0.5569854982040174,0.5256882708032368,0.735753068393138,200.0
21,420,0.6242287419476653,0.7604495388056025,0.8463201442066999,200.0
21,470,0.7056463501391438,0.6940764084521018,0.9283841318784576,200.0
22,120,0.17759808169245042,0.0,0.3889187746917032,1151.5937635691203
22,170,0.1692777272693618,0.047491880849990786,0.4360980642733986,200.0
22,220,0.16045762405800565,0.0,0.4457695497540859,200.0
22,270,0.26427924237626427,0.20031928617323191,0.4637574634424536,200.0
22,320,0.4126029459601549,0.3747112100675746,0.5802589101809356,200.0
22,370,0.41569673916432065,0.23625539713895383,0.6535787115028486,200.0
22,420,0.3497255369625537,0.2627019030847504,0.5807579861061598,200.0
22,470,0.6214747855550468,0.7293127700025592,0.8369365953339603,200.0
23,120,0.19401694651313026,0.13563623565487415,0.421115184922903,56490.475822157314
23,170,0.20118527542758907,0.0,0.5029856349949285,200.0
23,220,0.284941073449163,0.19610850664324442,0.4425370197438061,200.0
23,270,0.40647660029224253,0.32636616862097134,0.654647459966797,200.0
23,320,0.33491253236823065,0.0,0.7638172887320139,200.0
23,370,0.34381541105335833,0.0,0.6800229771660693,200.0
23,420,0.45122993606393,0.6840078998098416,0.5721945832041994,200.0
23,470,0.7604432057185211,0.8095241892935994,0.9297949088405129,200.0
24,120,0.1571802849047708,0.0,0.27985606187877965,200.0
24,170,0.14914425389869326,0.0,0.24413993547302382,200.0
24,220,0.3201671888160072,0.4364971495989578,0.42180133461179037,200.0
24,270,0.2586648956482699,0.0,0.554052407950127,200.0
24,320,0.37993510852202944,0.09353058606425424,0.6397286420096651,200.0
24,370,0.34743473682857795,0.13549757084950653,0.5684081105596955,200.0
24,420,0.5415701571066349,0.6045476771487597,0.7458900245885483,200.0
24,470,0.6957020942755267,0.7110138860390887,0.8841957046986311,200.0
25,120,0.3050875896221429,0.0,0.4840562149170454,529.8541586992263
25,170,0.25348781551540667,0.2281602650837964,0.3802167746100166,200.0
25,220,0.2460061443539662,0.0,0.46307415596704493,200.0
25,270,0.31307741502823083,0.15336074447023773,0.4728905137623469,200.0
25,320,0.19970207463183112,0.0,0.4624663458790521,200.0
25,370,0.37626382127162283,0.484269643425561,0.6204553979968671,200.0
25,420,0.31932225998316116,0.19241820359864414,0.5623104580512881,200.0
25,470,0.678397287343188,0.8398268061546279,0.8602167672429185,200.0
26,120,0.1647303503705669,0.0,0.3001732559477519,200.0
26,170,0.2779223194823639,0.3778484428802634,0.33351687334259617,200.0
26,220,0.18629423275391083,0.08016202385879478,0.3448679643640149,200.0
26,270,0.2506897904041104,0.042957018218704346,0.4348412871593057,200.0
26,320,0.25899774747111737,0.0,0.4644051943207763,200.0
26,370,0.295070009290716,0.14603632524919152,0.553243027382222,200.0
26,420,0.3404947425171957,0.564469661691619,0.47596929569114166,200.0
26,470,0.7520606204749674,0.9079405424687201,0.9316411255252046,200.0
27,120,0.19092002834269,0.40354539497149244,0.20932386274185888,1332.0024791146886
27,170,0.14327962163038088,0.0,0.33319576621632674,200.0
27,220,0.3475155970695547,0.3479596534020031,0.4816472517612498,200.0
27,270,0.2813156592942024,0.27094779039735906,0.5244199359107453,200.0
27,320,0.22779431505779027,0.0,0.5588730469986007,200.0
27,370,0.37622913649538614,0.16987247700158237,0.630018980110315,200.0
27,420,0.5113959743349682,0.6647989315934903,0.7385811349998987,200.0
27,470,0.6820374186491888,0.6969796957096154,0.9022876992559579,200.0
28,120,0.15359179101083578,0.05876705735371579,0.3257682359538502,200.0
28,170,0.2189786564267801,0.0,0.4913975843505254,200.0
28,220,0.27603677470825316,0.0,0.4850606544017493,200.0
28,270,0.2659626225055163,0.10197534158329546,0.43745274499390696,200.0
28,320,0.2802323754571356,0.0,0.5494078564693134,200.0
28,370,0.2799971417710463,0.11858644215192948,0.48319061371077554,200.0
28,420,0.4410343596589291,0.7317241588932565,0.6337676059582265,200.0
28,470,0.7123998208215367,0.7737737214509096,0.9048157414415394,200.0
29,120,0.19146799558103844,0.0,0.3088607066375193,613.0550083740034
29,170,0.12601441175719136,0.10844000980999613,0.17504260825595497,200.0
29,220,0.17300048004377236,0.0,0.2836734936125902,71538.8010776539
29,270,0.20410366058138943,0.0,0.32629919983290523,200.0
29,320,0.3426783665857833,0.35188389620796456,0.4685066410947172,200.0
29,370,0.5284582451324494,0.5630608918753481,0.7625715310177801,200.0
29,420,0.3316482241818292,0.0,0.6147627058127082,200.0
29,470,0.7600847132302511,0.8994791095969191,0.913718193035886,200.0
30,120,0.23400742362650623,0.06090225245249714,0.3976097171360564,200.0
30,170,0.18922854698278832,0.01674138006308712,0.38661559180202776,9690.052656842523
30,220,0.24975659804443748,0.2768013411586382,0.39856102706994534,200.0
30,270,0.22009189429834777,0.0,0.5306538250589439,200.0
30,320,0.37920662541115907,0.0936707514247872,0.7055395674419354,200.0
30,370,0.3452355152684555,0.0,0.6856396208507625,200.0
30,420,0.5741636586765019,0.843897289666198,0.7805983487245537,200.0
30,470,0.5070527297208365,0.16583484840088591,0.8734273413425565,200.0
31,120,0.3202010655932813,0.14973460966353758,0.41206821469653065,4724.807448387514
31,170,0.2831410707097969,0.24901229300486494,0.4494964922039605,200.0
31,220,0.22827964110894383,0.0,0.4620180961106204,200.0
31,270,0.16855082145175918,0.0,0.35547588224842896,200.0
31,320,0.29397377132750363,0.41750167339703426,0.50090691234186,200.0
31,370,0.4621133300820131,0.5180490441635783,0.6971773650064681,200.0
31,420,0.41357819234487564,0.21006460755918344,0.7042551858080973,200.0
31,470,0.6990241580061431,0.8587186967717063,0.8983343664648186,200.0
32,120,0.20282212111894715,0.0,0.3592039230076107,200.0
32,170,0.3655776590986828,0.4308606789006342,0.45692567258334715,200.0
32,220,0.19027122320566742,0.0,0.3196664815674617,200.0
32,270,0.47039104854617914,0.6505906073775406,0.5235573031393409,200.0
32,320,0.3125358316262544,0.0,0.6715633889738107,200.0
